sample	strain	state	state_label	group
Cn101	101	parent	Parent	HR
Cn10102	101	02	Monoclonal	HR
Cn10101	101	01	Selected	HR
Cn10103	101	03	Passage	HR
Cn106	106	parent	Parent	HR
Cn10602	106	02	Monoclonal	HR
Cn10601	106	01	Selected	HR
Cn10603	106	03	Passage	HR
Cn126	126	parent	Parent	HR
Cn12602	126	02	Monoclonal	HR
Cn12601	126	01	Selected	HR
Cn12603	126	03	Passage	HR
Cn128	128	parent	Parent	HR
Cn12802	128	02	Monoclonal	HR
Cn12801	128	01	Selected	HR
Cn12803	128	03	Passage	HR
Cn160	160	parent	Parent	HR
Cn16002	160	02	Monoclonal	HR
Cn16001	160	01	Selected	HR
Cn16003	160	03	Passage	HR
Cn162	162	parent	Parent	HR
Cn16202	162	02	Monoclonal	HR
Cn16201	162	01	Selected	HR
Cn16203	162	03	Passage	HR
Cn208	208	parent	Parent	HR
Cn20802	208	02	Monoclonal	HR
Cn20801	208	01	Selected	HR
Cn20803	208	03	Passage	HR
Cn213	213	parent	Parent	HR
Cn21302	213	02	Monoclonal	HR
Cn21301	213	01	Selected	HR
Cn21303	213	03	Passage	HR
Cn215	215	parent	Parent	HR
Cn21502	215	02	Monoclonal	HR
Cn21501	215	01	Selected	HR
Cn21503	215	03	Passage	HR
Cn217	217	parent	Parent	HR
Cn21702	217	02	Monoclonal	HR
Cn21701	217	01	Selected	HR
Cn21703	217	03	Passage	HR
Cn147	147	parent	Parent	control
Cn14702	147	02	Monoclonal	control
Cn14701	147	01	Selected	control
Cn14703	147	03	Passage	control
Cn150	150	parent	Parent	control
Cn15002	150	02	Monoclonal	control
Cn15001	150	01	Selected	control
Cn15003	150	03	Passage	control
Cn169	169	parent	Parent	control
Cn16902	169	02	Monoclonal	control
Cn16901	169	01	Selected	control
Cn16903	169	03	Passage	control
Cn174	174	parent	Parent	control
Cn17402	174	02	Monoclonal	control
Cn17401	174	01	Selected	control
Cn17403	174	03	Passage	control
Cn225	225	parent	Parent	control
Cn22502	225	02	Monoclonal	control
Cn22501	225	01	Selected	control
Cn22503	225	03	Passage	control
Cn226	226	parent	Parent	control
Cn22602	226	02	Monoclonal	control
Cn22601	226	01	Selected	control
Cn22603	226	03	Passage	control
Cn196	196	parent	Parent	R
Cn19602	196	02	Monoclonal	R
Cn19601	196	01	Selected	R
Cn19603	196	03	Passage	R
Cn197	197	parent	Parent	R
Cn19702	197	02	Monoclonal	R
Cn19701	197	01	Selected	R
Cn19703	197	03	Passage	R
Cn198	198	parent	Parent	R
Cn19802	198	02	Monoclonal	R
Cn19801	198	01	Selected	R
Cn19803	198	03	Passage	R
CnH99	H99	parent	Parent	standard
CnH9902	H99	02	Monoclonal	standard
CnH9901	H99	01	Selected	standard
CnH9903	H99	03	Passage	standard
